timestamp,aX,aY,aZ,gX,gY,gZ
92,0.2219,0.0720,0.8175,12.7563,-40.6494,77.2705
93,0.0514,0.2273,0.9089,22.8271,-115.0513,81.4819
94,0.0593,0.2599,1.4877,29.4800,-2.0142,-12.7563
95,-0.1216,0.2340,1.2432,-26.7334,29.4800,10.1318
96,0.2207,0.1686,0.9830,-51.1475,25.9399,-25.5737
97,0.3531,0.2231,1.0593,-14.2212,8.9722,-15.0757
98,0.3320,0.2532,0.9712,-8.1177,18.2495,-12.9395
99,0.2219,0.1896,1.0471,-16.4185,6.1035,-6.6528
100,0.2128,0.1002,0.9622,-1.0986,2.9297,-57.4951
101,0.1489,-0.1908,0.8660,4.5776,24.7803,-82.3364
102,0.0448,-0.4694,0.6737,-22.8882,-48.6450,-120.6055
103,-0.0879,-0.9381,0.7639,57.6782,-22.2168,-110.5347
104,0.2595,-0.8370,0.7894,32.8369,29.3579,-79.1626
105,0.1970,-0.5884,0.7632,15.5029,42.6025,-7.9956
106,0.0686,-0.4884,0.8971,8.0566,-0.9766,-10.8032
107,0.1393,-0.5466,0.9633,3.3569,-2.5635,-1.7700
108,0.1222,-0.5994,0.9813,-3.8452,-11.8408,13.4277
109,0.2891,-0.9122,0.7943,-25.6348,21.0571,76.7212
110,0.0890,-0.8740,0.8048,-28.9307,-8.3008,68.5425
111,0.1017,-0.7863,0.7241,-35.5225,-16.1743,93.5059
112,0.0181,-0.4716,0.7842,8.7891,3.0518,110.9619
113,0.1033,-0.0006,0.8109,27.8320,1.8921,80.6885
114,0.2397,0.1456,0.8630,30.2124,-46.6309,43.0298
115,0.1659,0.1857,1.2993,24.9634,-22.5220,-14.6484
116,0.0410,0.1326,1.2393,15.8691,21.7285,17.4561
117,0.2283,0.0863,0.9391,-41.3208,15.1367,-19.5923
118,0.2942,0.0780,1.0016,-12.3901,8.7280,-19.5923
119,0.3134,0.1606,0.9932,-15.5029,15.9302,-1.1597
120,0.3389,0.1188,0.9718,-8.3618,-9.6436,-21.2402
121,0.4474,0.0431,1.1593,-5.7373,6.8359,10.8643
