timestamp,aX,aY,aZ,gX,gY,gZ
91,-0.1136,0.4757,0.7852,-6.4087,-152.1606,28.1982
92,-0.4147,0.4690,0.5604,53.0396,-200.0732,4.8218
93,-0.5353,0.2305,0.6416,175.1099,-234.9243,-66.7114
94,-0.7677,-0.1705,0.6133,283.4473,-295.4102,-89.8438
95,-0.9865,-0.2388,0.4744,191.5894,-271.3623,-52.4292
96,-1.0073,-0.2687,0.2185,210.2051,-170.5322,41.6870
97,-0.9711,-0.3568,-0.0050,179.3213,-104.3091,121.7651
98,-0.8788,-0.4318,-0.2069,97.8394,-90.2710,89.5386
99,-0.7301,-0.6965,-0.2849,51.3916,-40.2832,174.6216
100,-0.7520,-1.1165,-0.1366,19.3481,4.5166,299.4385
101,-0.3804,-1.1709,-0.1426,-56.5796,67.3218,310.9741
102,-0.0856,-1.4641,0.2333,-223.0835,185.1807,265.6250
103,0.1389,-1.3545,0.6213,-362.0605,161.6211,184.1431
104,0.3816,-0.7499,0.8789,-424.0112,32.2266,177.2461
105,0.5040,-0.3109,0.6414,-267.8833,43.7622,81.7261
106,0.5596,-0.1432,0.3926,-143.3716,-58.2886,84.7168
107,0.6154,0.3005,0.7812,-36.9263,-68.1152,79.7119
108,0.5139,0.5525,0.5181,-14.0381,-83.3740,92.1631
109,0.2572,0.6787,0.5918,-42.6636,-89.3555,92.4072
110,0.0024,0.4709,1.0264,53.4058,-223.3276,63.0493
111,-0.5834,0.5604,0.4347,113.6475,-272.7661,-7.4463
112,-0.7012,0.1071,0.7272,168.5791,-243.9575,-63.9038
113,-0.9043,-0.2810,0.5059,347.2900,-278.2593,-82.5195
114,-0.9512,-0.4120,0.3981,282.9590,-217.2241,-22.4609
115,-0.8639,-0.4731,0.1814,252.1362,-127.1362,58.7769
116,-0.8392,-0.4596,0.0280,138.4888,-125.3662,91.1865
117,-0.7441,-0.6810,-0.1610,69.9463,-79.0405,137.5122
118,-0.5887,-1.1584,-0.2732,11.7798,-2.5635,307.5562
119,-0.4498,-1.1292,-0.0239,-88.8062,31.3110,291.3208
120,-0.1616,-1.4388,0.2467,-261.2305,186.0962,285.7666
121,0.3501,-1.2068,0.5577,-316.5894,224.7925,264.0991
122,0.5122,-0.9022,0.7983,-405.5786,72.4487,178.2227
123,0.4846,-0.2332,0.5934,-252.7466,0.4272,81.6650
124,0.4531,-0.0049,0.2347,-155.9448,-113.2813,104.1870
125,0.6396,0.1628,0.5602,-25.6958,-105.7739,58.1055
126,0.4559,0.4113,0.9148,-23.5596,-102.2949,99.8535
127,0.1162,0.6411,0.8103,-36.4990,-75.5615,91.3696
128,0.0333,0.6299,0.7209,-63.6597,-119.8120,73.0591
129,-0.2327,0.5338,0.5654,56.4575,-157.6538,8.8501
130,-0.5111,0.3710,0.5229,108.0322,-241.8823,-55.4810
131,-0.7264,0.0162,0.6224,228.3325,-273.1323,-79.8340
